"file_name","file_content_in_il","vulnerable"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-concatenation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-interpretation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�d.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 sprintf SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�d_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 sprintf SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�s_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 sprintf SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�u.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 sprintf SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�u_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 sprintf SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_select-concatenation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_select-interpretation_simple_quote.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_select-sprintf_�d.il","var1 array
var1_0
var1_1 GET
var1_2
var2 var1_1
var2 mysql_real_escape_string var2
var3 sprintf SQL_QUERY var2
var4 mysql_connect
mysql_select_db
echo var3
var5 mysql_query var3
loop var6 mysql_fetch_array var5
  print_r var6
  echo
mysql_close var4","0"
