"file_name","file_content_in_il","vulnerable"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-concatenation_simple_quote.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-interpretation_simple_quote.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�d.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var sprintf SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�d_simple_quote.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var sprintf SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�s_simple_quote.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var sprintf SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�u.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var sprintf SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_AS-sprintf_�u_simple_quote.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var sprintf SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_select-concatenation_simple_quote.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_select-interpretation_simple_quote.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
"CWE_89__array-GET__func_mysql_real_escape_string__multiple_select-sprintf_�d.il","var array
var
var GET
var
var var
var mysql_real_escape_string var
var sprintf SQL_QUERY var
var mysql_connect
mysql_select_db
echo var
var mysql_query var
loop var mysql_fetch_array var
  print_r var
  echo
mysql_close var","0"
